id,first_name,last_name,gender,birthday,reg_date,city,district,street,building,apartment
1,Митофан,Зуев,Female,1962-06-03,"2025-12-24 06:29:39","Нижний Новгород",NULL,"пер. Звездный",70,NULL
2,Савватий,Артемьев,Male,1969-01-23,"2025-12-22 23:41:44","Нижний Новгород",NULL,"наб. Малиновая",197,1
3,Валерий,Козлов,Male,1969-10-10,"2025-12-24 14:58:53","Нижний Новгород",NULL,"бул. Вишневый",90,27
4,Болеслав,Сазонов,Male,1964-01-20,"2025-12-24 10:20:18","Нижний Новгород",NULL,"ш. Минское",42,NULL
5,Остап,Носков,Female,1963-11-01,"2025-12-23 16:29:37","Нижний Новгород",NULL,"ул. Кольцова",93,NULL
6,Казимир,Елисеев,Female,1966-08-01,"2025-12-24 04:28:51","Нижний Новгород",NULL,"ш. Макаренко",152,NULL
7,Фома,Русаков,Male,1973-12-14,"2025-12-22 17:26:34","Нижний Новгород",NULL,"бул. Шаумяна",137,93
8,Виссарион,Щербаков,Female,2005-09-18,"2025-12-24 00:40:43","Нижний Новгород",NULL,"алл. Гоголя",9,NULL
9,Олимпий,Фокин,Male,1963-07-21,"2025-12-24 06:41:52","Нижний Новгород",NULL,"ш. Балтийское",7,NULL
10,Остап,Тетерин,Male,1983-01-16,"2025-12-23 10:37:20","Нижний Новгород",NULL,"алл. Ильича",188,NULL
11,Евстигней,Морозов,Female,1984-04-20,"2025-12-23 21:45:46","Нижний Новгород",NULL,"наб. Рылеева",176,NULL
12,Пахом,Буров,Male,1994-10-30,"2025-12-24 01:17:08","Нижний Новгород",NULL,"пр. Слободской",18,43
13,Эдуард,Дмитриев,Female,1970-01-29,"2025-12-23 04:03:04","Нижний Новгород",NULL,"бул. Трудовой",180,28
14,Федор,Корнилов,Male,1976-10-05,"2025-12-23 07:36:33","Нижний Новгород",NULL,"ш. Родниковое",34,48
15,Дорофей,Савин,Male,1972-03-25,"2025-12-24 01:23:14","Нижний Новгород",NULL,"алл. Щорса",158,NULL
16,Савелий,Афанасьев,Female,1962-03-08,"2025-12-22 17:56:57","Нижний Новгород",NULL,"ул. Николаева",182,85
17,Богдан,Сазонов,Female,1968-10-21,"2025-12-24 06:11:59","Нижний Новгород",NULL,"бул. Технический",41,84
18,Георгий,Антонов,Female,2000-04-28,"2025-12-23 05:08:34","Нижний Новгород",NULL,"бул. Каштановый",75,NULL
19,Фома,Ситников,Male,1973-11-10,"2025-12-24 03:16:02","Нижний Новгород",NULL,"ул. Индустриальная",181,NULL
20,Поликарп,Марков,Male,1987-03-14,"2025-12-23 13:44:07","Нижний Новгород",NULL,"наб. Безымянная",173,NULL
21,Лавр,Суханов,Female,1961-04-15,"2025-12-22 18:23:51","Нижний Новгород",NULL,"пер. Технический",28,NULL
22,Ратмир,Меркушев,Male,2006-09-22,"2025-12-23 22:09:26","Нижний Новгород",NULL,"бул. Геологический",76,76
23,Порфирий,Титов,Male,1981-08-03,"2025-12-24 04:36:20","Нижний Новгород",NULL,"ш. 40 лет Победы",200,11
24,Фотий,Карпов,Male,1966-03-10,"2025-12-22 19:28:54","Нижний Новгород",NULL,"пр. Челюскинцев",128,33
25,Василий,Лукин,Female,1963-07-20,"2025-12-23 13:46:28","Нижний Новгород",NULL,"бул. Котовского",103,NULL
26,Сильвестр,Федоров,Male,1976-08-14,"2025-12-24 00:40:27","Нижний Новгород",NULL,"ш. Автомобилистов",78,89
27,Евдоким,Быков,Male,1977-03-27,"2025-12-24 08:37:24","Нижний Новгород",NULL,"пр. Дорожников",72,NULL
28,Вышеслав,Самойлов,Male,2001-02-21,"2025-12-23 07:49:54","Нижний Новгород",NULL,"алл. Большевистская",163,NULL
29,Марк,Кудрявцев,Female,1967-11-05,"2025-12-22 22:14:29","Нижний Новгород",NULL,"бул. Репина",106,96
30,Эрнест,Белов,Female,1990-11-02,"2025-12-23 22:30:31","Нижний Новгород",NULL,"ул. Западная",7,NULL
31,Валентина,Аксенова,Male,1993-10-20,"2025-12-23 19:17:40","Нижний Новгород",NULL,"алл. Водников",22,NULL
32,Фаина,Карпова,Female,1985-02-25,"2025-12-24 05:04:35","Нижний Новгород",NULL,"ш. Макаренко",161,NULL
33,Елизавета,Емельянова,Female,1966-01-17,"2025-12-24 05:41:09","Нижний Новгород",NULL,"ш. Крымское",121,NULL
34,Любовь,Сидорова,Male,1990-10-09,"2025-12-23 20:02:55","Нижний Новгород",NULL,"пр. Кузнечный",180,40
35,Дарья,Мамонтова,Male,1977-04-06,"2025-12-24 02:28:02","Нижний Новгород",NULL,"пер. Мелиоративный",120,69
36,Татьяна,Блохина,Female,1983-08-22,"2025-12-24 06:54:28","Нижний Новгород",NULL,"пр. Белорусский",33,55
37,Ангелина,Голубева,Male,1993-01-11,"2025-12-23 04:16:16","Нижний Новгород",NULL,"наб. Кооперативная",107,70
